JH_CALBODY,JH_INVBASDOC,LUHAO,PK_INSPECTIONCHECK,JH_INVNAME,JH_INSPECTIONRELAPLAN,JH_INSPECTIONRELAPLANNAME,JH_INSPECTIONPLAN,8区平均μm,Al%,As%,A级,B级,Cr%,Cu%,Cu+Cr+Ni%,Cu+Ni,C级,D级,Mo%,N%,Ni%,P+S%,Sn%,Ti夹杂,Ti夹杂物μm,备注,编号,脆性MAXμm,断面收缩率%,复核,硅含量%,过热级,基本组织,基体组织,晶粒度级,抗拉强度MPa,来源,磷含量%,硫含量%,炉号,锰含量%,偏析级,破断力KN,全脱碳μm,日期,JY_TIME,实测直径mm,索氏体率%,碳当量,碳当量%,碳含量%,椭圆度mm,网状组织级别级,网状组织级别级小于1,显微组织,心部马氏体岛级别级,样品来源,最大纵向横向夹杂尺寸μm,最深μm,CHECK_HG_FLAG,NASSISTNUM,NNUM,DSL
1001A110000000001H8R,1006B21000000000033F,826,MD0000000005JQ8BI0QU,武钢WLX82AG,IR0000000005ITOC2YZV,盘条C80（001）,MD0000000005IS3HT4JA,0,0.001,,0.5,0.5,0.009,0.011,0.022,,0.5,0.5,0.001,0.006,0.002,0.024,0.002,,0,,587,5,41.8,崔恒伟,0.19,1,,,9.5,1116,,0.014,0.01,A816314,0.5,2,27.2,0,2018/11/18,2018/11/18 0:00,5.57,90,,0.851,0.821,0.17,0,,S+微量Fe3C+少量P,0,质量中心,1,0,合格,266413.58,71789123,4.333458194
1001A110000000001H8R,1001A110000000009MGI,827,MD0000000005IY2YLTEN,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.01,0.017,0.029,,1,0.5,0.001,0.006,0.002,0.017,0.002,,0,,291,5,47.2,崔恒伟,0.19,1,,,8.5,1035,,0.007,0.01,A910053,0.55,2,25.02,0,2019/1/10,2019/1/10 0:00,5.55,90,,0.777,0.732,0.1,0,,S+微量F+少量P,0,质量中心,1,0,合格,425490.97,201483307,0.924386019
1001A110000000001H8R,1001A110000000009MGI,828,MD0000000005IY2YLTFV,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.012,0.012,0.026,,0.5,0.5,0.001,0.006,0.002,0.015,0.002,,0,,292,5,48.1,崔恒伟,0.18,1,,,8.5,1005,,0.007,0.008,A910050,0.53,2,24.58,0,2019/1/10,2019/1/10 0:00,5.58,90,,0.753,0.714,0.1,0,,S+微量F+少量P,0,质量中心,1,0,合格,684416.02,328108426,0.960233592
1001A110000000001H8R,1001A110000000009MGI,829,MD0000000005JQ8BNI2D,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.01,0.014,0.026,,0.5,0.5,0.001,0.006,0.002,0.022,0.002,,0,,605,5,40.5,崔恒伟,0.21,1,,,9.5,1005,,0.013,0.009,A826179,0.51,2,24.31,0,2018/11/18,2018/11/18 0:00,5.55,90,,0.747,0.714,0.19,0,,S+微量F+少量P,0,质量中心,1,0,合格,172128.32,91796063,0.823498319
1001A110000000001H8R,1001A110000000009MGI,830,MD0000000005IY2YLV3R,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.01,0.013,0.025,,0.5,0.5,0.001,0.006,0.002,0.02,0.002,,0,,385,5,47.3,崔恒伟,0.19,1,,,8.5,1053,,0.01,0.01,A910193,0.53,2,25.74,0,2019/1/11,2019/1/11 0:00,5.58,90,,0.76,0.721,0.15,0,,S+微量F+少量P,0,质量中心,1,0,合格,43956.04,22747763,1.000372758
1001A110000000001H8R,1001A110000000009MGI,831,MD0000000005IY2YLS1R,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.01,0.01,0.022,,0.5,0.5,0.001,0.006,0.002,0.017,0.002,,0,,251,5,47,崔恒伟,0.19,1,,,8.5,1087,,0.008,0.009,A910074,0.5,2,26.01,0,2019/1/10,2019/1/10 0:00,5.52,90,,0.765,0.735,0.18,0,,S+微量F+少量P,0,质量中心,1,0,合格,457811.9,218957272,1.048432248
1001A110000000001H8R,1001A110000000009MGI,832,MD0000000005IY2YLTAZ,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.018,0.014,0.034,,0.5,0.5,0.001,0.006,0.002,0.018,0.002,,0,,288,5,47.5,崔恒伟,0.21,1,,,8.5,1022,,0.008,0.01,A817598,0.52,2,24.73,0,2019/1/10,2019/1/10 0:00,5.53,90,,0.757,0.721,0.16,0,,S+微量F+少量P,0,质量中心,1,0,合格,183908.78,85197772,1.111519603
1001A110000000001H8R,0001B21000000004ZBB3,833,MD0000000005JQ8BDNM1,武钢W82DA,IR0000000005ITOC2ZK5,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.017,0.011,,,0.5,0.5,0.003,,0.002,0.023,,0,,,390,,43.7,崔恒伟,0.18,1,,S+微量Fe3C+少量P,9.5,1129,质量中心,0.014,0.009,A814479,0.52,2,27.52,0,2018/8/5,2018/8/5 0:00,5.57,90,,,0.834,0.14,0,,,0,,1,0,合格,2408031.936,1261074973,2.756598636
1001A110000000001H8R,0001A11000000000JJN3,834,MD0000000005JQ8B3MAP,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,4,0.004,,1,0.5,0.018,0.008,,,0.5,0.5,0.001,,0.019,0.019,,0,,,1020,,45.8,崔恒伟,0.2,1,,S+微量Fe3C+少量P,9.5,1135,质量中心,0.011,0.008,1833931,0.5,2,27.36,0,2018/5/20,2018/5/20 0:00,5.54,90,,,0.814,0.18,0,,,0,,1,35,合格,1694842.076,872670195,3.126902477
1001A110000000001H8R,0001A11000000000JJN3,835,MD0000000005JQ8B33ET,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.004,,0.5,0.5,0.024,0.009,,,0.5,0.5,0.001,,0.019,0.024,,0,,,830,,42,吕青,0.21,1,,S+微量Fe3C+少量P,9.5,1135,质量中心,0.01,0.014,1832824,0.53,2,27.74,0,2018/4/14,2018/4/14 0:00,5.58,90,,,0.831,0.16,0,,,0,,1,0,合格,1641724.878,1014716974,3.125221042
1001A110000000001H8R,0001A11000000000JJN3,836,MD0000000005JQ8B4QZ0,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.022,0.01,,,0.5,0.5,0.002,,0.002,0.019,,0,,,440,,51.1,崔恒伟,0.19,1,,S+微量Fe3C+少量P,9.5,1130,质量中心,0.01,0.009,1817028,0.52,2,27.12,0,2018/10/5,2018/10/5 0:00,5.53,90,,,0.831,0.08,0,,,0,,1,0,合格,1598306.35,972073975,5.291829146
1001A110000000001H8R,0001A11000000000JJN6,837,MD0000000005JQ8BGJ8D,青钢C82D2,IR0000000005ITOC3073,盘条C80（001）,MD0000000005IS3HT4JA,0,0.004,,0.5,0.5,0.022,0.008,0.049,,0.5,0.5,0.001,0.006,0.019,0.018,0.003,,0,,742,5,45.8,吕青,0.2,1,,,9.5,1148,,0.012,0.006,1831915,0.5,2,27.45,0,2018/3/18,2018/3/18 0:00,5.52,90,,0.843,0.813,0.2,0,,S+微量Fe3C+少量P,0,质量中心,1,0,合格,1694030.4,1039522017,4.540630709
1001A110000000001H8R,0001B21000000004ZBB3,838,MD0000000005JQ8BDV4V,武钢W82DA,IR0000000005ITOC2ZK5,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.009,0.012,,,0.5,0.5,0.001,,0.002,0.039,,0,,,836,,44.5,崔恒伟,0.18,1,,S+微量Fe3C+少量P,9.5,1175,质量中心,0.024,0.015,A825525,0.52,2,27.71,0,2018/10/8,2018/10/8 0:00,5.48,90,,,0.828,0.13,0,,,0,,1,0,合格,2708635.398,775580807,1.053822088
1001A110000000001H8R,1001A1100000000CP7W8,839,MD0000000005JQ8B6T0H,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,8,0.001,,0.5,0.5,0.043,0.011,,,0.5,0.5,0.001,,0.17,0.016,,0,,,636,,48.6,吕青,0.2,1,,S+微量F+少量P,9.5,1042,质量中心,0.008,0.008,1832286,0.55,2,25.64,0,2018/4/14,2018/4/14 0:00,5.6,90,,,0.742,0.18,0,,,0,,1,36,合格,296249.6489,125324240,3.094046522
1001A110000000001H8R,0001A11000000000JJN3,840,MD0000000005JQ8B4KO9,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,15,0.001,,0.5,0.5,0.023,0.01,,,0.5,0.5,0.002,,0.002,0.026,,0,,,60,,47.4,崔恒伟,0.2,1,,S+微量Fe3C+少量P,9.5,1131,质量中心,0.015,0.011,1837891,0.51,2,24.49,0,2018/10/1,2018/10/1 0:00,5.46,90,,,0.809,0.1,0,,,0,,1,39,合格,1632958.142,769051179.5,3.420498012
1001A110000000001H8R,0001A11000000000JJN3,841,MD0000000005JQ8B3TAY,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,3,0.001,,0.5,0.5,0.02,0.011,,,0.5,0.5,0.001,,0.001,0.022,,0,,,120,,45.9,崔恒伟,0.18,1,,S+微量Fe3C+少量P,9.5,1138,质量中心,0.017,0.005,1824912,0.53,2,27.12,,2018/7/1,2018/7/1 0:00,5.51,90,,,0.8,0.17,0,,,0,,1,28,合格,1800535.73,773985123.8,1.51193765
1001A110000000001H8R,1001A110000000009MGI,842,MD0000000005JQ8BMAOI,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.015,0.018,0.051,,0.5,0.5,0.001,0.006,0.018,0.016,0.003,,0,,414,5,48.5,崔恒伟,0.17,1,,,9.5,1019,,0.007,0.009,A822656,0.5,1,24.39,0,2018/6/5,2018/6/5 0:00,5.52,90,,0.757,0.727,0.08,0,,S+微量F+少量P,0,质量中心,1,0,合格,566423.2341,393620443,4.42184175
1001A110000000001H8R,0001A11000000000JJN3,843,MD0000000005JQ8B2NGH,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.004,,0.5,0.5,0.042,0.011,,,0.5,0.5,0.001,,0.021,0.028,,0,,,680,,45.5,吕青,0.19,1,,S+微量Fe3C+少量P,9.5,1105,质量中心,0.017,0.011,1832021,0.52,2,27.4,0,2018/3/16,2018/3/16 0:00,5.62,90,,,0.831,0.17,0,,,0,,1,0,合格,2187215.949,943572689.6,2.362820148
1001A110000000001H8R,1001A110000000009MGI,844,MD0000000005JQ8BMLFG,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,10,0.001,,0.5,0.5,0.015,0.013,0.029,,0.5,0.5,0.001,0.005,0.001,0.02,0.001,,0,,916,5,49.4,崔恒伟,0.2,1,,,9.5,997,,0.012,0.008,A813972,0.55,2,24.02,,2018/7/15,2018/7/15 0:00,5.54,90,,0.773,0.728,0.16,0,,S+微量F+少量P,0,质量中心,1,54,合格,1842479.386,1183115588,2.412856182
1001A110000000001H8R,1001A110000000009MGI,845,MD0000000005JQ8BM5TS,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.024,0.014,0.056,,0.5,0.5,0.001,0.006,0.018,0.016,0.003,,0,,48,5,51.8,崔恒伟,0.21,1,,,9.5,977,,0.008,0.008,A812813,0.52,1,23.72,0,2018/6/1,2018/6/1 0:00,5.56,90,,0.753,0.717,0.1,0,,S+微量F+少量P,0,质量中心,1,0,合格,1078457.898,534346102,2.029274887
1001A110000000001H8R,0001A11000000000JJN6,846,MD0000000005JQ8BH8XE,青钢C82D2,IR0000000005ITOC3073,盘条C80（001）,MD0000000005IS3HT4JA,0,0.001,,0.5,0.5,0.016,0.007,0.025,,0.5,0.5,0.003,0.006,0.002,0.024,0.001,,0,,1196,5,43.2,崔恒伟,0.19,1,,,9.5,1124,,0.018,0.006,1836851,0.52,2,27.48,0,2018/8/24,2018/8/24 0:00,5.58,90,,0.86,0.824,0.2,0,,S+微量Fe3C+少量P,0,质量中心,1,0,合格,289992.09,162464155,2.361547219
1001A110000000001H8R,0001A11000000000JJN3,847,MD0000000005JQ8B3ZMY,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.018,0.009,,,0.5,0.5,0.001,,0.001,0.021,,0,,,458,,47,崔恒伟,0.2,1,,S+微量Fe3C+少量P,9.5,1153,质量中心,0.015,0.006,1835089,0.54,2,27.6,,2018/7/1,2018/7/1 0:00,5.52,90,,,0.835,0.18,0,,,0,,1,0,合格,1820522.094,1112396820,3.632403364
1001A110000000001H8R,0001A11000000000JJN3,848,MD0000000005JQ8B4OF1,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,4,0.001,,0.5,0.5,0.022,0.01,,,0.5,0.5,0.002,,0.002,0.027,,0,,,220,,45.7,崔恒伟,0.19,1,,S+微量Fe3C+少量P,9.5,1140,质量中心,0.013,0.014,1827662,0.52,1,27.42,0,2018/10/1,2018/10/1 0:00,5.53,90,,,0.821,0.05,0,,,0,,1,35,合格,1785275.92,964660237,3.831836089
1001A110000000001H8R,1001A110000000009MGI,849,MD0000000005JQ8BMOXF,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.01,0.012,0.023,,0.5,0.5,0.001,0.004,0.001,0.021,0.001,,0,,1024,5,45.2,崔恒伟,0.2,1,,,9.5,1063,,0.012,0.009,A823918,0.52,2,25.42,,2018/7/15,2018/7/15 0:00,5.52,90,,0.759,0.723,0.14,0,,S+微量F+少量P,0,质量中心,1,0,合格,143470.0929,110495241,3.185351761
1001A110000000001H8R,1001A1100000000CP7W8,850,MD0000000005JQ8B86RS,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,3,0.001,,0.5,0.5,0.025,0.009,,,0.5,0.5,0.001,,0.002,0.014,,0,,,342,,54.5,崔恒伟,0.2,1,,S+微量F+少量P,9.5,1018,质量中心,0.009,0.005,1816930A,0.54,2,24.62,0,2018/10/1,2018/10/1 0:00,5.54,90,,,0.732,0.1,0,,,0,,1,25,合格,1136928.958,529157385,1.090332691
1001A110000000001H8R,0001A11000000000JJN3,851,MD0000000005JQ8B2B9M,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.004,,0.5,0.5,0.034,0.007,,,0.5,0.5,0.001,,0.02,0.018,,0,,,302,,42.2,崔恒伟,0.18,1,,S+微量Fe3C+少量P,9.5,1126,质量中心,0.011,0.007,1830537,0.53,2,27.24,0,2018/2/1,2018/2/1 0:00,5.55,90,,,0.8,0.09,0,,,0,,1,0,合格,2167868.768,1002573012,1.764054896
1001A110000000001H8R,0001A11000000000JJN6,852,MD0000000005JQ8BFWKE,青钢C82D2,IR0000000005ITOC3073,盘条C80（001）,MD0000000005IS3HT4JA,3,0.004,,0.5,0.5,0.02,0.01,0.048,,0.5,0.5,0.001,0.006,0.018,0.016,0.003,,0,,340,5,40.4,,0.18,1,,,9.5,1097,,0.011,0.005,1738628,0.48,2,26.26,0,2017/12/3,2017/12/3 0:00,5.52,90,,0.842,0.818,0.13,0,,S+微量Fe3C+少量P,0,质量中心,1,20,合格,1443684.94,816612049,5.925080549
1001A110000000001H8R,0001A11000000000JJN6,853,MD0000000005JQ8BFX55,青钢C82D2,IR0000000005ITOC3073,盘条C80（001）,MD0000000005IS3HT4JA,0,0.004,,0.5,0.5,0.018,0.008,0.044,,0.5,0.5,0.001,0.006,0.018,0.015,0.003,,0,,192,5,42.1,,0.19,1,,,9.5,1070,,0.01,0.005,1738933,0.53,2,26.22,0,2017/12/4,2017/12/4 0:00,5.62,90,,0.839,0.8,0.14,0,,S+微量Fe3C+少量P,0,质量中心,1,0,合格,1031658.347,715494767,8.355875494
1001A110000000001H8R,0001A11000000000JJN3,854,MD0000000005JQ8B1J12,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,5,0.004,,0.5,0.5,0.029,0.011,,,0.5,0.5,0.001,,0.018,0.018,,0,,,1354,,43.8,,0.19,1,,S+微量Fe3C+少量P,9.5,1100,质量中心,0.011,0.007,1738546,0.51,2,26.59,0,2017/11/18,2017/11/18 0:00,5.55,90,,,0.822,0.12,0,,,0,,1,22,合格,102039.9392,29414417,1.729442306
1001A110000000001H8R,1001A110000000009MGI,855,MD0000000005JQ8BLGBD,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.022,0.009,0.05,,0.5,0.5,0.001,0.006,0.019,0.017,0.003,,0,,424,5,43.2,崔恒伟,0.2,1,,,9.5,1029,,0.01,0.007,A810877,0.5,2,24.63,0,2018/3/3,2018/3/3 0:00,5.52,90,,0.769,0.739,0.16,0,,S+微量F+少量P,0,质量中心,1,0,合格,915833.2412,613497882,2.879622023
1001A110000000001H8R,0001A11000000000JJN3,856,MD0000000005JQ8B1QQ5,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,11,0.004,,0.5,0.5,0.028,0.01,,,0.5,0.5,0.001,,0.017,0.019,,0,,,888,,44.3,,0.2,1,,S+微量Fe3C+少量P,9.5,1140,质量中心,0.01,0.009,1739216,0.54,2,27.27,0,2017/12/15,2017/12/15 0:00,5.52,90,,,0.833,0.19,0,,,0,,1,30,合格,1836692.794,936566632,2.301352783
1001A110000000001H8R,0001A11000000000JJN6,857,MD0000000005JQ8BG0ZM,青钢C82D2,IR0000000005ITOC3073,盘条C80（001）,MD0000000005IS3HT4JA,0,0.004,,0.5,0.5,0.024,0.008,0.05,,0.5,0.5,0.001,0.006,0.018,0.016,0.003,,0,,6,5,42.5,崔恒伟,0.18,1,,,9.5,1103,,0.01,0.006,1739664,0.56,2,26.58,0,2018/1/1,2018/1/1 0:00,5.54,90,,0.881,0.833,0.1,0,,S+微量Fe3C+少量P,0,质量中心,1,0,不合格,115153.3734,68284408,3.821777682
1001A110000000001H8R,1001A1100000000CP7W8,858,MD0000000005JQ8B798S,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,7,0.001,,0.5,0.5,0.022,0.01,,,0.5,0.5,0.001,,0.017,0.021,,0,,,338,,48.9,崔恒伟,0.18,1,,S+微量F+少量P,9.5,1031,质量中心,0.005,0.016,1834545,0.54,2,23.87,0,2018/6/3,2018/6/3 0:00,5.43,90,,,0.726,0.08,0,,,0,,1,30,合格,13636.67904,687000,0
1001A110000000001H8R,0001A11000000000JJN3,859,MD0000000005JQ8B3FNI,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.004,,0.5,0.5,0.021,0.009,,,0.5,0.5,0.001,,0.018,0.016,,0,,,460,,45.7,崔恒伟,0.19,1,,S+微量Fe3C+少量P,9.5,1151,质量中心,0.008,0.008,1833399F,0.54,2,27.73,0,2018/5/8,2018/5/8 0:00,5.564,90,,,0.828,0.15,0,,,0,,1,0,合格,1069323.684,414309755,2.33826699
1001A110000000001H8R,0001A11000000000JJN3,860,MD0000000005JQ8B2MBU,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,7,0.004,,0.5,0.5,0.03,0.014,,,0.5,0.5,0.001,,0.021,0.023,,0,,,642,,44.8,吕青,0.2,1,,S+微量Fe3C+少量P,9.5,1152,质量中心,0.016,0.007,1832032,0.53,2,27.65,0,2018/3/16,2018/3/16 0:00,5.53,90,,,0.816,0.2,0,,,0,,1,29,合格,1930217.843,918683451.1,2.793874791
1001A110000000001H8R,0001A11000000000JJN3,861,MD0000000005JQ8B369H,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,4,0.004,,0.5,0.5,0.021,0.01,,,0.5,0.5,0.001,,0.02,0.026,,0,,,1544,,43.8,崔恒伟,0.21,1,,S+微量Fe3C+少量P,9.5,1128,质量中心,0.012,0.014,1833248,0.53,2,27.29,0,2018/4/26,2018/4/26 0:00,5.55,90,,,0.834,0.1,0,,,0,,1,31,合格,2277202.983,944242454,2.20402088
1001A110000000001H8R,1001A110000000009MGI,862,MD0000000005JQ8BLM35,武钢WLX72A-X,IR0000000005ITOC30K7,盘条C70（001）,MD0000000005IS3HT4J8,0,0.001,,0.5,0.5,0.017,0.013,0.049,,0.5,0.5,0.001,0.006,0.019,0.016,0.003,,0,,1092,5,50.8,吕青,0.19,1,,,9.5,1039,,0.007,0.009,A821198,0.51,1,25.22,0,2018/3/18,2018/3/18 0:00,5.56,90,,0.749,0.716,0.09,0,,S+微量F+少量P,0,质量中心,1,0,合格,2245650.53,1254205637,4.08594648
1001A110000000001H8R,0001A11000000000JJN3,863,MD0000000005JQ8B4TTO,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.028,0.01,,,0.5,0.5,0.002,,0.002,0.021,,0,,,930,,51.6,崔恒伟,0.19,1,,S+微量Fe3C+少量P,9.5,1159,质量中心,0.012,0.009,1838352,0.52,2,27.13,0,2018/10/8,2018/10/8 0:00,5.46,90,,,0.812,0.07,0,,,0,,1,0,合格,3631635.12,1429278144,5.106693175
1001A110000000001H8R,0001A11000000000JJN3,864,MD0000000005JQ8B43MI,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.023,0.009,,,0.5,0.5,0.003,,0.001,0.027,,0,,,1532,,49.2,崔恒伟,0.21,1,,S+微量Fe3C+少量P,9.5,1138,质量中心,0.018,0.009,1835334,0.54,2,27.32,,2018/7/26,2018/7/26 0:00,5.53,90,,,0.828,0.16,0,,,0,,1,0,合格,1999295.651,882244521,1.738558785
1001A110000000001H8R,1001A1100000000CP7W8,865,MD0000000005JQ8B7JO5,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,0,0.001,,0.5,0.5,0.046,0.009,,,0.5,0.5,0.001,,0.001,0.021,,0,,,536,,45.8,崔恒伟,0.21,1,,S+微量F+少量P,9.5,1020,质量中心,0.012,0.009,1833501,0.54,2,24.58,,2018/7/7,2018/7/7 0:00,5.54,90,,,0.725,0.2,0,,,0,,1,0,合格,399639.5891,149123021,1.209118182
1001A110000000001H8R,0001A11000000000JJN3,866,MD0000000005JQ8B443I,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.03,0.01,,,0.5,0.5,0.003,,0.002,0.024,,0,,,50,,41,崔恒伟,0.2,1,,S+微量Fe3C+少量P,9.5,1121,质量中心,0.016,0.008,1815265,0.52,2,26.42,0,2018/8/1,2018/8/1 0:00,5.48,90,,,0.815,0.14,0,,,0,,1,0,合格,2656530.556,1341234666,3.704479933
1001A110000000001H8R,0001A11000000000JJN3,867,MD0000000005JQ8B3Y1Y,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.019,0.01,,,0.5,0.5,0.001,,0.001,0.022,,0,,,350,,41.8,崔恒伟,0.2,1,,S+微量Fe3C+少量P,9.5,1114,质量中心,0.015,0.007,1835118,0.53,2,26.27,,2018/7/1,2018/7/1 0:00,5.48,90,,,0.84,0.15,0,,,0,,1,0,合格,1836504.103,821871867,2.186846278
1001A110000000001H8R,0001B21000000004ZBB3,868,MD0000000005JQ8BDMZ7,武钢W82DA,IR0000000005ITOC2ZK5,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.012,0.011,,,0.5,0.5,0.003,,0.001,0.023,,0,,,1608,,41.5,崔恒伟,0.18,1,,S+微量Fe3C+少量P,9.5,1122,质量中心,0.012,0.011,A823828,0.49,2,26.96,,2018/7/23,2018/7/23 0:00,5.51,90,,,0.832,0.04,0,,,0,,1,0,合格,2736687.24,1158778336,2.268515278
1001A110000000001H8R,0001A11000000000JJN3,869,MD0000000005JQ8B2F4N,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.004,,0.5,0.5,0.023,0.008,,,0.5,0.5,0.001,,0.018,0.019,,0,,,558,,45.7,崔恒伟,0.21,1,,S+微量Fe3C+少量P,9.5,1150,质量中心,0.012,0.007,1830868,0.53,2,27.34,0,2018/2/6,2018/2/6 0:00,5.48,90,,,0.824,0.16,0,,,0,,1,0,合格,1413565.882,797493368,2.372067083
1001A110000000001H8R,0001A11000000000JJN3,870,MD0000000005JQ8B4F12,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.014,0.009,,,0.5,0.5,0.001,,0.002,0.016,,0,,,112,,44.7,崔恒伟,0.2,1,,S+微量Fe3C+少量P,9.5,1165,质量中心,0.011,0.005,1837013F,0.52,2,27.72,0,2018/9/2,2018/9/2 0:00,5.47,90,,,0.84,0.06,0,,,0,,1,0,合格,1902763.646,959487772,2.044153024
1001A110000000001H8R,0001A11000000000JJN3,871,MD0000000005JQ8B4WM7,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.021,0.012,,,0.5,0.5,0.002,,0.002,0.021,,0,,,1194,,51.2,崔恒伟,0.2,1,,S+微量Fe3C+少量P,9.5,1142,质量中心,0.013,0.008,1828313,0.52,2,26.82,0,2018/10/19,2018/10/19 0:00,5.47,90,,,0.831,0.07,0,,,0,,1,0,合格,1606413.326,872626669,3.58552965
1001A110000000001H8R,0001A11000000000JJN3,872,MD0000000005JQ8B2CMT,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.004,,0.5,0.5,0.029,0.012,,,0.5,0.5,0.001,,0.019,0.02,,0,,,376,,43.4,崔恒伟,0.21,1,,S+微量Fe3C+少量P,9.5,1087,质量中心,0.013,0.007,1830545,0.54,2,26.87,0,2018/2/1,2018/2/1 0:00,5.61,90,,,0.814,0.12,0,,,0,,1,0,合格,1196536.883,688286243,2.90408843
1001A110000000001H8R,0001A11000000000JJN3,873,MD0000000005JQ8B321M,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.004,,0.5,0.5,0.021,0.009,,,0.5,0.5,0.001,,0.019,0.021,,0,,,750,,45.6,吕青,0.21,1,,S+微量Fe3C+少量P,9.5,1124,质量中心,0.01,0.011,1832326,0.54,2,27.38,0,2018/4/14,2018/4/14 0:00,5.57,90,,,0.823,0.29,0,,,0,,1,0,合格,2065595.056,878245048.4,2.330798041
1001A110000000001H8R,1001A1100000000CP7W8,874,MD0000000005JQ8B7XEA,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,10,0.001,,0.5,0.5,0.016,0.01,,,0.5,0.5,0.001,,0.002,0.0057,,0,,,702,,52.2,崔恒伟,0.2,1,,S+微量F+少量P,9.5,1005,质量中心,0.0007,0.005,1836339C,0.51,2,24.22,0,2018/8/17,2018/8/17 0:00,5.54,90,,,0.734,0.24,0,,,0,,1,47,合格,1648569.512,868041787,1.457910433
